"cons.misto" "massa" "cilindrata" "alimentazione2" "potenzacv" "giri" "coppia"
"alfa-romeo 159-berlina 159-20-jtdm-136-cv-progression" 5.1 1490 1956 "gasolio" 136 4000 350
"alfa-romeo 159-station 159-20-jtdm-136-cv-sw-progression" 5.2 1540 1956 "gasolio" 136 4000 350
"alfa-romeo 159-station 159-20-jtdm-sw-progression" 5.5 1540 1956 "gasolio" 170 4000 360
"alfa-romeo giulietta giulietta-14-turbo-105-cv" 6.4 1280 1368 "benzina" 105 5000 206
"alfa-romeo giulietta giulietta-14-turbo-120-cv" 6.4 1280 1368 "benzina" 120 5000 206
"alfa-romeo giulietta giulietta-14-turbo-120-cv-gpl" 6.4 1280 1368 "benzina" 120 5000 206
"alfa-romeo giulietta giulietta-14-turbo-multiair-progression" 5.8 1290 1368 "benzina" 170 5500 250
"alfa-romeo giulietta giulietta-14-turbo-multiair-tct-prog" 4.5 1310 1368 "benzina" 170 5500 250
"alfa-romeo giulietta giulietta-16-jtdm-2-105-cv" 4.4 1310 1598 "gasolio" 105 4000 320
"alfa-romeo giulietta giulietta-1750-tbi-quadrifoglio-verde" 7.6 1320 1742 "benzina" 235 5500 340
"alfa-romeo giulietta giulietta-20-jtdm-2-140-cv-progression" 4.7 1320 1956 "gasolio" 140 4000 350
"alfa-romeo mito mito-13-jtdm-2-95-cv-s&s-progression" 4.3 1150 1248 "gasolio" 95 4000 180
"alfa-romeo mito mito-13-jtdm-85-cv-s&s-progression" 3.5 1150 1248 "gasolio" 85 3500 200
"alfa-romeo mito mito-14-105-cv-mair-s&s-progression" 5.8 1090 1368 "benzina" 105 6500 130
"alfa-romeo mito mito-14-70-cv-8v-progression" 5.8 1080 1368 "benzina" 70 6000 120
"alfa-romeo mito mito-14-78-cv-8v-s&s-upload" 5.6 1080 1368 "benzina" 77 6000 120
"alfa-romeo mito mito-14-t-135-cv-mair-s&s-distinctive" 5.6 1145 1368 "benzina" 135 5000 206
"alfa-romeo mito mito-14-t-170-cv-mair-s&s-qverde" 6 1135 1368 "benzina" 170 5500 250
"alfa-romeo mito mito-16-jtdm-2-s&s-distinctive" 4.4 1205 1598 "gasolio" 120 3750 320
"audi a1 a1-12-tfsi-attraction" 5.1 1040 1197 "benzina" 86 4800 160
"audi a1 a1-14-tfsi-185-cv-s-tronic-ambition" 5.9 1125 1390 "benzina" 185 6200 250
"audi a1 a1-14-tfsi-attraction" 5.3 1100 1390 "benzina" 122 5000 200
"audi a1 a1-16-tdi-attraction" 3.8 1140 1598 "gasolio" 90 4200 230
"audi a4-berlina a4-18-tfsi-120-cv" 6.5 1410 1798 "benzina" 120 3650 230
"audi a4-berlina a4-20-tdie-136-cv" 4.3 1485 1968 "gasolio" 136 4200 320
"audi a4-berlina a4-20-tdie-163-cv" 4.6 1475 1968 "gasolio" 163 4200 380
"audi a6-berlina a6-20-tdi" 4.9 1575 1968 "gasolio" 177 4200 380
"audi a6-berlina a6-20-tfsi" 6.5 1540 1984 "benzina" 180 4000 320
"audi a6-berlina a6-30-tdi-313-cv-quattro-tiptronic" 6.4 1790 2967 "gasolio" 313 3900 650
"audi a6-berlina a6-30-tfsi-quattro-s-tronic" 8.2 1740 2995 "benzina" 310 5500 440
"audi a6-berlina s6-40-tfsi-quattro-s-tronic" 9.6 1895 3993 "benzina" 420 5500 550
"audi nuova-a3 a3-14-tfsi-young" 5.2 1175 1395 "benzina" 122 5000 200
"audi nuova-a3 a3-16-tdi-young" 3.8 1230 1598 "gasolio" 105 3000 250
"audi nuova-a3 a3-18-tfsi-s-tronic-attraction" 5.6 1250 1798 "benzina" 180 5100 250
"audi nuova-a3 a3-20-tdi-attraction" 4.1 1280 1968 "gasolio" 150 3500 320
"bentley mulsanne mulsanne" 16.7 2585 6750 "benzina" 513 4200 1.02
"bmw serie-5-berlina 520d" 4.8 1625 1995 "gasolio" 184 4000 380
"bmw serie-5-berlina 520i" 6.8 1595 1997 "benzina" 184 5000 270
"bmw serie-5-berlina 525d" 5 1645 1995 "gasolio" 218 4400 450
"bmw serie-5-berlina m5" 9.9 1870 4395 "benzina" 560 6000 680
"bmw serie-7 740i-eletta" 7.9 1825 2979 "benzina" 320 5800 450
"bmw serie-7 750li-xdrive-eletta" 6.4 2035 4395 "benzina" 449 5500 650
"bmw x6 x6-xdrive30d-eletta" 7.4 2075 2993 "gasolio" 245 4000 540
"bmw x6 x6-xdrive35i-eletta" 10.1 2070 2979 "benzina" 306 5800 400
"bmw x6 x6-xdrive40d-eletta" 7.5 2110 2993 "gasolio" 306 4400 600
"bmw x6 x6-xdrive50i" 12.5 2190 4394 "benzina" 408 5500 600
"cadillac escalade escalade-60-v8-aut-sport-luxury-hybrid" 10.9 2779 5967 "ibrida" 337 5100 495
"chevrolet volt volt" 1.2 1732 1398 "ibrida" 151 6000 370
"citroen c1 c1-10-3p-attraction" 4.3 850 998 "benzina" 68 6000 93
"citroen c1 c1-10-5p-attraction" 4.3 855 998 "benzina" 68 6000 93
"citroen c3 c3-11-attraction" 5.9 1010 1124 "benzina" 60 5500 94
"citroen c3 c3-14-hdi-70-attraction" 3.8 1070 1398 "gasolio" 68 4000 160
"citroen c3 c3-14-vti-95-seduction" 5.8 1075 1397 "benzina" 95 6000 136
"citroen c3 c3-16-e-hdi-90-airdream-cmp6-exclusive" 3.8 1090 1560 "gasolio" 92 4000 230
"citroen c4 c4-14-vti-95-attraction" 6.1 1200 1397 "benzina" 95 6000 136
"citroen c4 c4-16-hdi-90-attraction" 4.2 1205 1560 "gasolio" 92 4000 230
"citroen c4 c4-16-thp-155-cmp-6-exclusive" 6.3 1275 1598 "benzina" 156 6000 240
"citroen c4 c4-20-hdi-150-seduction" 4.9 1320 1997 "gasolio" 150 3750 340
"citroen c5-berlina c5-16-hdi-115-seduction" 5 1506 1560 "gasolio" 114 3600 240
"citroen c5-berlina c5-16-vti-120-cmp6-seduction-2012-6" 6.2 1425 1598 "benzina" 120 6000 160
